name
Alemão
Animação Turística
Área de integração
Arquitetura de Computadores
Automação
Biologia e Geologia
Cidadania e Desenvolvimento
Ciências Naturais
Computadores
Contabilidade Central
Desenho Técnico
Dir.das Organizações
Economia A
Educação Física
Educação Moral e Religiosa
Educação Visual
Eletrónica
Empreendorismo
Espanhol
Filosofia
Físico-Química
Francês
Geografia
Geometria Descritiva
Gestão da Qualidade e em Proc.Farmácia
História
História Cultura das Artes
Inglês
MACS
Matemática
Organização Industrial
Português
Práticas Oficinais
Programação de Sistemas Informáticos
Psicologia e Sociologia
Redes de Comunicação
Robótica
Saúde em Farmácia
Secret.e Gest.Docum.
Sistemas operativos
Técnico Apoio á Gestão
Técnico de Farmácia
Tecnologias e Processos
TIC
Turismo
